,Sales
1963-01-01,591.0
1963-02-01,464.0
1963-03-01,461.0
1963-04-01,605.0
1963-05-01,586.0
1963-06-01,526.0
1963-07-01,665.0
1963-08-01,570.0
1963-09-01,590.0
1963-10-01,567.0
1963-11-01,579.0
1963-12-01,514.0
1964-01-01,549.0
1964-02-01,609.0
1964-03-01,562.0
1964-04-01,559.0
1964-05-01,523.0
1964-06-01,580.0
1964-07-01,575.0
1964-08-01,582.0
1964-09-01,590.0
1964-10-01,583.0
1964-11-01,548.0
1964-12-01,540.0
1965-01-01,533.0
1965-02-01,559.0
1965-03-01,556.0
1965-04-01,555.0
1965-05-01,544.0
1965-06-01,614.0
1965-07-01,554.0
1965-08-01,615.0
1965-09-01,587.0
1965-10-01,555.0
1965-11-01,616.0
1965-12-01,609.0
1966-01-01,599.0
1966-02-01,541.0
1966-03-01,557.0
1966-04-01,545.0
1966-05-01,499.0
1966-06-01,434.0
1966-07-01,435.0
1966-08-01,377.0
1966-09-01,358.0
1966-10-01,387.0
1966-11-01,382.0
1966-12-01,369.0
1967-01-01,416.0
1967-02-01,408.0
1967-03-01,439.0
1967-04-01,479.0
1967-05-01,503.0
1967-06-01,499.0
1967-07-01,515.0
1967-08-01,504.0
1967-09-01,531.0
1967-10-01,566.0
1967-11-01,500.0
1967-12-01,502.0
1968-01-01,494.0
1968-02-01,543.0
1968-03-01,490.0
1968-04-01,501.0
1968-05-01,441.0
1968-06-01,441.0
1968-07-01,493.0
1968-08-01,507.0
1968-09-01,501.0
1968-10-01,502.0
1968-11-01,469.0
1968-12-01,511.0
1969-01-01,480.0
1969-02-01,524.0
1969-03-01,474.0
1969-04-01,450.0
1969-05-01,447.0
1969-06-01,461.0
1969-07-01,436.0
1969-08-01,422.0
1969-09-01,396.0
1969-10-01,401.0
1969-11-01,441.0
1969-12-01,452.0
1970-01-01,461.0
1970-02-01,373.0
1970-03-01,389.0
1970-04-01,445.0
1970-05-01,466.0
1970-06-01,485.0
1970-07-01,481.0
1970-08-01,515.0
1970-09-01,564.0
1970-10-01,545.0
1970-11-01,570.0
1970-12-01,582.0
1971-01-01,618.0
1971-02-01,618.0
1971-03-01,681.0
1971-04-01,662.0
1971-05-01,618.0
1971-06-01,646.0
1971-07-01,706.0
1971-08-01,659.0
1971-09-01,625.0
1971-10-01,647.0
1971-11-01,710.0
1971-12-01,689.0
1972-01-01,698.0
1972-02-01,711.0
1972-03-01,640.0
1972-04-01,684.0
1972-05-01,677.0
1972-06-01,687.0
1972-07-01,681.0
1972-08-01,773.0
1972-09-01,767.0
1972-10-01,843.0
1972-11-01,735.0
1972-12-01,772.0
1973-01-01,781.0
1973-02-01,737.0
1973-03-01,725.0
1973-04-01,661.0
1973-05-01,660.0
1973-06-01,650.0
1973-07-01,601.0
1973-08-01,566.0
1973-09-01,561.0
1973-10-01,565.0
1973-11-01,547.0
1973-12-01,519.0
1974-01-01,523.0
1974-02-01,539.0
1974-03-01,572.0
1974-04-01,544.0
1974-05-01,590.0
1974-06-01,534.0
1974-07-01,534.0
1974-08-01,492.0
1974-09-01,511.0
1974-10-01,448.0
1974-11-01,450.0
1974-12-01,417.0
1975-01-01,416.0
1975-02-01,422.0
1975-03-01,477.0
1975-04-01,543.0
1975-05-01,579.0
1975-06-01,557.0
1975-07-01,569.0
1975-08-01,566.0
1975-09-01,556.0
1975-10-01,609.0
1975-11-01,680.0
1975-12-01,669.0
1976-01-01,603.0
1976-02-01,644.0
1976-03-01,591.0
1976-04-01,611.0
1976-05-01,570.0
1976-06-01,591.0
1976-07-01,664.0
1976-08-01,648.0
1976-09-01,696.0
1976-10-01,708.0
1976-11-01,735.0
1976-12-01,767.0
1977-01-01,825.0
1977-02-01,839.0
1977-03-01,872.0
